"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"surv[7,63]",0.000152892009662933,0.000735662492702726,3.81507497126324e-13,3.56639953587809e-08,1.93649993545055e-06,3.21249988324425e-05,0.00142782458044695,1.15912389025874,18
"surv[7,64]",0.000128466251968803,0.000649871957597001,1.12030487454567e-13,1.95499693512374e-08,1.26349515234527e-06,2.32048038392568e-05,0.0012103175538414,1.1592829049437,18
"surv[7,65]",0.000108055120169401,0.000574376081131404,3.18745129595099e-14,1.05373927213368e-08,8.13744548368836e-07,1.70068957916076e-05,0.00101520550411576,1.15942850193048,18
"surv[7,66]",9.09719142977334e-05,0.000507708077581207,8.77707346539715e-15,5.60248213144296e-09,5.20881464442727e-07,1.20174992196712e-05,0.000847018619342582,1.15956169000954,18
"surv[7,67]",7.66693867016562e-05,0.000448961520808839,2.33889527832317e-15,2.92323001284549e-09,3.3489926843754e-07,8.45492150184037e-06,0.000705514689734581,1.15968799019607,18
"surv[7,68]",6.46824083319224e-05,0.000397268917904685,6.23630875327567e-16,1.48571679127357e-09,2.11898489848323e-07,5.9611303821459e-06,0.000586613728823072,1.15980243977941,18
"surv[7,69]",5.46253909162962e-05,0.000351581424609775,1.66923238863898e-16,7.47005075910519e-10,1.31147855491426e-07,4.24247438639658e-06,0.000486802731609731,1.1599078631636,18
"surv[7,70]",4.61763009003781e-05,0.000311244339343234,4.33900960901107e-17,3.66571528948273e-10,8.17549998471041e-08,3.004749219552e-06,0.00040317644648428,1.16000529498885,18
"surv[7,71]",3.90708951032646e-05,0.000275596633347686,1.09467461492595e-17,1.79455017034454e-10,5.04149104928295e-08,2.11899929167307e-06,0.000333342637530188,1.16009588402408,18
"surv[7,72]",3.30897538333095e-05,0.000244075853792575,2.6806063553759e-18,8.97709815715085e-11,3.07749800974752e-08,1.48149771882165e-06,0.000275101267124699,1.16017791233435,18
"surv[7,73]",2.8051288827348e-05,0.000216210884258613,6.36629610200139e-19,4.41745524841922e-11,1.865e-08,1.03149088177612e-06,0.000226288701235204,1.16025264182708,18
"surv[7,74]",2.38019384041928e-05,0.000191543443944313,1.46723090539686e-19,2.18473455380303e-11,1.12149988854212e-08,7.12741121615383e-07,0.000185170757631764,1.16032326999379,18
"surv[7,75]",2.02152107626669e-05,0.00016973347335205,3.2778096225824e-20,1.03147072235545e-11,6.69399394980307e-09,4.93386516270472e-07,0.00015113444886068,1.16038587021438,18
