"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"surv[4,89]",0.0246941989691965,0.0453532838721993,7.31266560334268e-08,0.000254199764212591,0.00486099341698793,0.0272948884704219,0.163684973133074,1.15265459869282,19
"surv[4,90]",0.0243709084187021,0.0451145389652002,5.82571667722957e-08,0.000234072888192502,0.00465399473570824,0.0266595421953384,0.162789988002703,1.15275991532509,19
"surv[4,91]",0.0240552474689345,0.0448786129077904,4.63815311579326e-08,0.000216247081036953,0.00445699596140719,0.0260567672113234,0.161994996988293,1.15286536873216,19
"surv[4,92]",0.0237484801493272,0.0446479930679617,3.6910332935869e-08,0.000200773951990003,0.00427249973668811,0.0255144667753915,0.161197499243643,1.15296756309405,19
"surv[4,93]",0.0234493629254084,0.0444212734510327,2.93543770836887e-08,0.00018607495467973,0.00409949923771185,0.0249547451561397,0.160494996960123,1.15306643175932,19
"surv[4,94]",0.0231575908650403,0.044197793105475,2.33235026550128e-08,0.000171648236563037,0.00394699683303648,0.0243999445811991,0.159887480905805,1.15316346323936,19
"surv[4,95]",0.0228729451198206,0.043977213519574,1.8527401015942e-08,0.000158321318469277,0.00380999947506558,0.0238574996069869,0.159282462402966,1.15325813868591,19
"surv[4,96]",0.0225955817220912,0.0437618217172407,1.47158797139086e-08,0.000147098374339258,0.003678,0.0233874321295976,0.158677437562146,1.15334986989378,19
"surv[4,97]",0.0223252388175359,0.0435501685413668,1.16785439995264e-08,0.0001374,0.00355149912008999,0.0229297636745657,0.158072406294917,1.15344014662731,19
"surv[4,98]",0.0220612389207484,0.0433411363590998,9.25798215368984e-09,0.000127374933810529,0.00342999766763769,0.0224798326880667,0.157467368511192,1.15352713463838,19
"surv[4,99]",0.0218039572457065,0.0431367032396362,7.33781110548976e-09,0.000116974608068827,0.00331249362263537,0.0220299386083473,0.156862324119185,1.15361548701647,19
"surv[4,100]",0.0215520510676669,0.0429333097155928,5.81274802451288e-09,0.000107974921929179,0.003192,0.0215924960905822,0.156257273025369,1.15369677034948,19
"surv[4,101]",0.0213062213898959,0.0427349343925864,4.689302915896e-09,9.9956583784924e-05,0.00306299412340279,0.0211824960148773,0.15575221531876,1.15377962790462,19
"surv[4,102]",0.0210667030222879,0.0425401163609952,3.78653143108485e-09,9.23513603380587e-05,0.00293648769791396,0.0207274995476296,0.155147150576577,1.15385855506547,19
"surv[4,103]",0.0208324463249047,0.0423481884507096,3.05698764450219e-09,8.60217151773308e-05,0.00281548042081631,0.020294998151647,0.154447148979101,1.1539369198367,19
"surv[4,104]",0.0206034650283984,0.0421596465730055,2.46728908650522e-09,7.99499081746703e-05,0.00269997333320164,0.0198799924496626,0.153647147135434,1.15401311411282,19
"surv[4,105]",0.0203795413819406,0.0419732905856268,1.99011507364334e-09,7.39011079844839e-05,0.00258946480956973,0.0194724763807175,0.152849678391579,1.15408851013479,19
"surv[4,106]",0.0201606320506457,0.0417897190440982,1.60521245546026e-09,6.82350124529073e-05,0.002483451630292,0.0190699684928771,0.152149676899497,1.15416272574278,19
"surv[4,107]",0.0199463990682745,0.0416078942054868,1.29434843786440e-09,6.29986752902159e-05,0.00238445591278178,0.0186849497363076,0.151352206976259,1.15423342014788,19
"surv[4,108]",0.019736891133187,0.0414299903780844,1.04334565463955e-09,5.83157163887561e-05,0.00229648775306989,0.0183099261081808,0.15065220560375,1.15430472135718,19
"surv[4,109]",0.0195323050459114,0.0412554170596008,8.41251145732433e-10,5.43049077993919e-05,0.00221149994347728,0.0179348972790365,0.149854734473155,1.15437326820777,19
"surv[4,110]",0.0193319316576564,0.0410838827820574,6.77842967946391e-10,5.05316207116164e-05,0.00212299976448421,0.0175723796185255,0.14905726198177,1.15443989046899,19
"surv[4,111]",0.0191357695654011,0.0409138859288907,5.46112139585697e-10,4.70249036588835e-05,0.00203549502578611,0.0172248230398903,0.148259788109248,1.15450597625345,19
"surv[4,112]",0.0189437339293044,0.0407470788528621,4.39788003113082e-10,4.36699142594749e-05,0.00195849942558072,0.0168822987771159,0.147364836920437,1.15457122921834,19
"surv[4,113]",0.0187555806289334,0.0405812506929084,3.54186355427789e-10,4.0466802358933e-05,0.00188599761399637,0.0165472490871934,0.146569879637427,1.15463580492568,19
"surv[4,114]",0.0185713891460662,0.0404187625735127,2.85055885488923e-10,3.74588497030253e-05,0.00181349441686485,0.0162147188920286,0.145772398350247,1.15469556286325,19
"surv[4,115]",0.0183913374833629,0.040260204022482,2.29445296239166e-10,3.46759901337141e-05,0.00174099741527666,0.0158996586551553,0.144977431638616,1.15475784622179,19
"surv[4,116]",0.0182142278440575,0.0401014669650182,1.84617033196963e-10,3.20930524186406e-05,0.001673,0.015587122071434,0.144179945710081,1.15481746529307,19
"surv[4,117]",0.0180411015933228,0.0399454380948577,1.48538650724334e-10,2.97126887627714e-05,0.00161099968963374,0.0152845830060813,0.143384969319224,1.15487663237699,19
"surv[4,118]",0.0178714846139382,0.0397922647938565,1.19482815412325e-10,2.75047083023722e-05,0.001554497989706,0.0149820410769621,0.142589986300081,1.15493323880998,19
"surv[4,119]",0.0177049350147541,0.0396416032859358,9.60383473682445e-11,2.54693548122921e-05,0.00149999166664352,0.0146894964491343,0.141792492253842,1.15498985481887,19
"surv[4,120]",0.0175424217021318,0.0394940382235412,7.72065926206119e-11,2.35839601351938e-05,0.00144797790038384,0.0144069490487525,0.141094996541776,1.15504464489006,19
"surv[5,1]",0.985592714570858,0.00455615608359823,0.9747,0.9832,0.9864,0.9889,0.9923,1.04215514810996,70
"surv[5,2]",0.950823852295409,0.00979203737402005,0.928407498818783,0.9447,0.951949998686906,0.9577,0.967394999496003,1.03483545739193,75
"surv[5,3]",0.890560978043912,0.0166547417817779,0.855402499857534,0.879624998934245,0.8916,0.901974998960576,0.921292498809172,1.02977741427057,81
"surv[5,4]",0.800495409181637,0.0238742300404058,0.752334968286222,0.7849,0.801649985966444,0.816649995407695,0.846592498704074,1.02512463154702,88
"surv[5,5]",0.682324151696607,0.0299983981511898,0.625404999220663,0.662124998584176,0.682999992679356,0.70247499866537,0.740994999341988,1.01906104703212,110
"surv[5,6]",0.556723353293413,0.0344440674101242,0.491102499751866,0.532149992953997,0.55789999103782,0.5795,0.624267466962751,1.01100784096528,180
"surv[5,7]",0.448276846307385,0.0369600756984979,0.3759,0.421424997775581,0.4494,0.472474998015628,0.522274976636256,1.00377918640981,470
"surv[5,8]",0.3652249500998,0.0378154506510178,0.289502499579111,0.339299955808697,0.36564999658143,0.389,0.439667453065606,1.00075829754843,1000
"surv[5,9]",0.30294001996008,0.0378366868307635,0.227917473848939,0.277424996621114,0.3035,0.326974997132516,0.378087491934594,1.00305005160245,560
"surv[5,10]",0.25595129740519,0.0376247071048885,0.183009989359571,0.230124995926717,0.2559,0.280274996654673,0.330287490766228,1.00972257330783,200
"surv[5,11]",0.219888323353293,0.0374657415726907,0.149602499185686,0.19322499514898,0.219849994314305,0.2447,0.292694998333723,1.01907845123137,100
"surv[5,12]",0.191588852295409,0.0374299507449231,0.122159432394161,0.163224994257567,0.192799974066388,0.21567499565251,0.265174953929716,1.03026727074316,69
"surv[5,13]",0.168846107784431,0.0374853226557509,0.101814957067288,0.139524993282379,0.170149992653541,0.1931,0.2445,1.04198305187778,52
"surv[5,14]",0.150132005988024,0.0375659838913111,0.0848907498708187,0.1209,0.15199996710526,0.174,0.227589991422412,1.05297668690898,43
"surv[5,15]",0.134382624750499,0.0376029081866391,0.0706769865145744,0.1045,0.1356,0.158549976338204,0.212882471888994,1.06276309035157,37
"surv[5,16]",0.120858922155689,0.0375453159007863,0.0580771508358786,0.0913649995895883,0.121849989741485,0.144724941659449,0.200697499392551,1.07122363393771,33
"surv[5,17]",0.109039151696607,0.0373570172075381,0.049051748783635,0.0790699829351512,0.109349988568815,0.132074992899968,0.191872422862099,1.0783868993811,31
"surv[5,18]",0.0986018463073852,0.037024543320293,0.040909811666059,0.0690074835702967,0.0975899748949655,0.1217,0.182089989276087,1.08437839696636,29
"surv[5,19]",0.0893661177644711,0.0365687097484371,0.0341619977201419,0.0602224998443359,0.0875999994292237,0.1123,0.172579954670434,1.08943508257705,28
"surv[5,20]",0.0811709181636727,0.036000311567018,0.0278304998249122,0.0527724998223619,0.07888,0.1029,0.164,1.09368363298549,27
"surv[5,21]",0.0738904670658683,0.0353468232316971,0.022795226558556,0.0462324949323408,0.0712349366533024,0.0948174714082767,0.156484971893894,1.09725756559454,26
"surv[5,22]",0.0674063203592814,0.0346242452635447,0.0190012483991543,0.0403424941927685,0.06398,0.0873149995704877,0.151029359814951,1.10031083354631,25
"surv[5,23]",0.0616210568862275,0.0338494970573673,0.0155242274678241,0.0351824997335575,0.0573249369820849,0.0806522846902936,0.142762306631663,1.10287794854295,25
"surv[5,24]",0.0564483812375249,0.0330370058447974,0.012952242411629,0.0305799803964197,0.05142,0.0748349994988529,0.136474910281305,1.1050915470434,24
"surv[5,25]",0.0518155409181637,0.032201775278232,0.0106914959107995,0.026724987380815,0.0466199131273322,0.0694649864975138,0.130782454181964,1.10698479807162,24
"surv[5,26]",0.0476572824351297,0.0313537758528194,0.00880809997786764,0.0232549854994571,0.0421399810156578,0.0641249994151439,0.124994996095887,1.10860760781934,24
"surv[5,27]",0.0439179900199601,0.0305022728904981,0.00708014754762956,0.0203899926482584,0.03794,0.0595697956261217,0.120589983795453,1.11002659723497,23
"surv[5,28]",0.0405487145708583,0.0296532954235257,0.0057390433015079,0.0176474952215764,0.034209998538439,0.0554099972922558,0.116187473704529,1.11125454916527,23
"surv[5,29]",0.0375075351297405,0.0288152537372268,0.0047434491695315,0.0154849782328083,0.0309749963680385,0.0517749992756189,0.111497498906305,1.11231993649679,23
