incremental_utility_cam,incremental_cost_cam,incremental_utility_niv,incremental_cost_niv,incremental_utility_sin,incremental_cost_sin,incremental_utility_tor,incremental_cost_tor,incremental_utility_pem,incremental_cost_pem,incremental_utility_tis,incremental_cost_tis
0.577467268,14249.64038,0.266069683,67478.67227,0.773248124,20700.11785,0.942204936,24705.06427,0.33564104,74933.98219,0.285675865,10204.47235
0.209330967,6086.443886,0.278421505,70091.00749,0.818776919,20161.94051,0.688229774,13046.1441,0.75954434,81171.41067,0.822935302,20523.87239
0.507865405,13444.95117,0.298544254,63269.56104,1.041453826,27431.93847,0.825332018,21183.44246,0.590851163,88052.65261,0.552583385,17531.51125
0.365881373,10786.98945,0.331222035,60840.84693,0.591365293,15310.24836,0.571155488,13832.62294,0.581790256,99463.85568,0.595371786,15652.00512
0.921251806,19376.32501,0.340718663,69124.50931,0.378008321,10354.86296,0.702690825,15676.0126,0.192492872,77979.9814,0.318618492,9941.256265
0.417302477,12021.58957,0.268419289,67037.93517,0.368961815,12308.48399,0.163375162,7237.38694,0.244607124,75905.28442,0.515735772,16132.53302
0.941190397,22213.93677,0.312519348,70084.43159,0.679868884,15506.60617,0.369556594,10389.99323,0.391626321,76539.66465,1.586310019,36518.56257
0.772071824,18762.93134,0.300864754,63538.78424,0.697679394,21587.6414,0.912037882,27647.69199,0.443571953,87996.30516,0.889326541,29258.21842
0.736594536,16753.39512,0.308407894,65428.29063,0.594246543,14592.0891,0.721892945,16903.27728,-0.166065049,65559.53779,0.796435726,20003.76186
0.867311041,21248.13514,0.28236138,66434.83595,0.557093733,13677.58799,1.432553344,33322.55866,0.284706525,69826.18783,0.561860606,16102.11216
0.588400691,12944.88781,0.298253438,69706.94024,0.353166228,9525.566016,1.194156529,25568.33354,0.267173934,61654.77347,0.673561549,15450.45241
0.109285058,4667.652554,0.298525013,65392.46356,0.900672486,21243.21163,0.712890699,16771.04068,0.052618167,78080.10516,0.103073838,6218.297458
2.714988773,61031.86931,0.298808405,64359.20221,-0.296157765,-493.9990825,0.19903914,8769.314128,-0.265084483,69618.40577,-0.157123553,2491.141989
0.551630654,14871.68475,0.309767789,64555.76623,-0.091953792,1961.36128,0.106165423,5900.796824,-0.009028174,53976.01752,0.200045521,7714.165131
1.074665634,21739.78002,0.312102222,64810.68794,0.857310612,18310.77892,0.857376953,16670.73192,0.331223931,68647.60216,0.46667914,11650.9955
0.40607238,11665.04114,0.291196317,64317.68113,0.519813926,13987.03304,0.488777984,13965.19357,0.178217442,71720.79853,1.477567241,35188.65254
0.489810926,12084.0281,0.301526236,67265.85708,0.941065422,25566.31618,0.96753143,22903.02987,0.167308589,71128.92921,0.966790374,20876.69526
0.086373134,4085.914902,0.295838105,61397.37586,2.440369321,54358.74977,0.859910779,17406.79725,0.55040391,85849.41224,0.473806279,12497.42344
0.626079737,15842.38248,0.325152269,61443.79969,0.349172127,10934.75496,0.917319379,21459.09655,-0.198489758,67286.48427,0.081568016,6783.486221
0.30420147,6485.308982,0.333320106,63924.90159,0.059926731,2644.627765,0.458895789,12651.5783,0.987865266,108327.8171,0.237103842,9222.34491
0.726040451,15584.43511,0.340819013,70013.06135,0.855313005,19329.41426,0.466740626,12400.30668,0.668412946,83891.25152,0.744068858,18794.14029
